county_fips,county,1900pop,1910,1910pop,1920,1920pop,1930,1930pop,1940,1940pop,1950,1950pop,1960,1960pop,1970,1970pop,1980,1980pop,1990,1990pop,2000,2000pop,2010,2010pop
067,Henry,36147,-42.06,20943,2.88,21547,5.91,22820,-3.98,21912,-14.78,18674,-18.14,15286,-13.29,13254,15.45,15302,0.47,15374,6.09,16310,6.08,17302
069,Houston,0,0,32414,15.18,37334,23.04,45935,-0.59,45665,1.88,46522,9.02,50718,11.55,56574,31.92,74632,8.98,81331,9.17,88787,14.37,101547
071,Jackson,30508,7.9,32918,8.95,35864,2.84,36881,13.34,41802,-6.71,38998,-5.94,36681,6.87,39202,31.13,51407,-7.02,47796,12.83,53926,-1.3,53227
073,Jefferson,140420,61.28,226476,36.9,310054,39.17,431493,6.59,459930,21.52,558928,13.59,634864,1.6,644991,4.08,671324,-2.95,651525,1.61,662047,-0.54,658466
075,Lamar,16084,8.72,17487,3.79,18149,-0.82,18001,9.48,19708,-16.58,16441,-13.2,14271,0.45,14335,14.78,16453,-4.49,15715,1.2,15904,-8.43,14564
077,Lauderdale,26559,16.48,30936,27.86,39556,3.98,41130,12.4,46230,17.19,54179,13.74,61622,10.53,68111,18.26,80546,-1.1,79661,10.43,87966,5.39,92709
079,Lawrence,20124,9.24,21984,10.57,24307,10.84,26942,3.48,27880,-2.7,27128,-9.68,24501,11.35,27281,10.59,30170,4.45,31513,10.44,34803,-1.33,34339
081,Lee,31826,3.27,32867,-0.14,32821,9.88,36063,1.09,36455,23.64,45073,10.39,49754,23.14,61268,24.51,76283,14.24,87146,32.07,115092,21.86,140247
083,Limestone,22387,20.07,26880,16.6,31341,16.87,36629,-2.69,35642,0.35,35766,2.09,36513,14.2,41699,10.33,46005,17.67,54135,21.32,65676,26.05,82782
085,Lowndes,35651,-10.54,31894,-20.34,25406,-9.95,22878,-0.95,22661,-20.49,18018,-14.44,15417,-16.35,12897,2.76,13253,-4.49,12658,6.44,13473,-16.14,11299
087,Macon,23126,12.64,26049,-9.55,23561,15.03,27103,2.03,27654,10.51,30561,-12.58,26717,-7.02,24841,8,26829,-7.09,24928,-3.3,24105,-11.01,21452
089,Madison,43702,7.64,47041,8.99,51268,26.05,64623,2.62,66317,9.93,72903,60.96,117348,58.96,186540,5.59,196966,21.3,238912,15.82,276700,21,334811
091,Marengo,38315,4.2,39923,-9.66,36065,1,36426,-1.89,35736,-17.47,29494,-8.12,27098,-12.1,23819,5.16,25047,-7.84,23084,-2.36,22539,-6.71,21027
093,Marion,14494,20.71,17495,25.8,22008,17.99,25967,10.82,28776,-5.25,27264,-19.91,21837,8.93,23788,26.29,30041,-0.7,29830,4.64,31214,-1.4,30776
095,Marshall,23289,22.6,28553,14.42,32669,21.83,39802,6.51,42395,6.36,45090,6.49,48018,12.9,54211,21.05,65622,7.94,70832,16.09,82231,13.12,93019
097,Mobile,62740,28.87,80854,23.82,100117,18.22,118363,19.95,141974,62.78,231105,36,314301,0.96,317308,15.02,364980,3.74,378643,5.6,399843,3.29,412992
099,Monroe,23666,14.74,27155,6.37,28884,4.11,30070,-2.01,29465,-12.67,25732,-13.06,22372,-6.66,20883,8.47,22651,5.81,23968,1.49,24324,-5.16,23068
101,Montgomery,72047,14.06,82178,-1.61,80853,22.04,98671,15.96,114420,21.45,138965,21.76,169210,-0.84,167790,17.43,197038,6.11,209085,6.9,223510,2.62,229363
103,Morgan,28820,17.21,33781,18.99,40196,14.88,46176,4.27,48148,9.92,52924,14.23,60454,27.88,77306,16.72,90231,10.87,100043,11.02,111064,7.59,119490
105,Perry,31783,-1.77,31222,-18.73,25373,3.99,26385,0.85,26610,-23.19,20439,-15.07,17358,-11.35,15388,-2.44,15012,-15.01,12759,-7.04,11861,-10.71,10591
107,Pickens,24402,2.68,25055,1.19,25353,-1.78,24902,11.12,27671,-12.01,24349,-10.13,21882,-7.11,20326,5.68,21481,-3.64,20699,1.21,20949,-5.74,19746
109,Pike,29172,5.63,30815,2.65,31631,1.93,32240,0.78,32493,-5.8,30608,-15.1,25987,-3.65,25038,12.03,28050,-1.62,27595,7.28,29605,11.13,32899
111,Randolph,21647,13.91,24659,9.75,27064,-0.75,26861,-5.01,25516,-11.77,22513,-13.49,19477,-5.88,18331,9.51,20075,-0.97,19881,12.57,22380,2.38,22913
113,Russell,27083,-4.23,25937,5.83,27448,-0.26,27377,30.68,35775,12.83,40364,14.83,46351,-2.06,45394,4.32,47356,-1.05,46860,6.18,49756,6.41,52947
